host_is_superhost,host_listings_count,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
f,1.0,Old West Austin,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,999.0,999.0,250.0,1,0.0,1,t,0,0,0,249,0,f,flexible
f,2.0,Old West Austin,House,Entire home/apt,11,2.0,4.0,7.0,Real Bed,350.0,300.0,129.0,8,50.0,2,t,21,48,78,347,4,f,strict
f,2.0,Old Enfield,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,109.0,0.0,0.0,1,0.0,2,t,23,53,83,274,83,t,moderate
f,1.0,West Austin,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,30.0,0.0,0.0,1,10.0,1,t,0,22,34,41,0,f,flexible
f,2.0,Old West Austin,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,75.0,100.0,20.0,2,50.0,2,t,0,0,0,220,16,f,moderate
f,1.0,Old West Austin,Apartment,Entire home/apt,6,1.0,1.0,2.0,Real Bed,190.0,0.0,50.0,1,0.0,3,t,1,1,1,204,4,t,flexible
f,3.0,Clarksville,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,400.0,1000.0,150.0,1,0.0,1,t,30,60,90,365,2,f,moderate
f,1.0,Clarksville,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,250.0,200.0,50.0,2,0.0,1,t,0,3,33,308,4,t,moderate
f,1.0,Old Enfield,House,Entire home/apt,10,4.0,4.0,4.0,Real Bed,10000.0,0.0,0.0,1,0.0,3,t,0,0,0,33,0,f,strict
f,339.0,Old West Austin,House,Entire home/apt,4,2.5,2.0,3.0,Real Bed,450.0,0.0,165.0,1,0.0,2,t,18,39,69,329,8,f,strict
t,6.0,Downtown,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,104.0,250.0,75.0,1,25.0,1,t,17,42,72,347,7,f,strict
t,1.0,Old West Austin,Apartment,Entire home/apt,5,1.0,2.0,3.0,Real Bed,200.0,0.0,25.0,1,0.0,1,t,16,39,65,332,53,f,moderate
f,1.0,West Austin,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,179.0,250.0,75.0,1,0.0,2,t,18,32,62,337,11,f,strict
f,1.0,Tarrytown,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,1000.0,0.0,0.0,1,0.0,2,t,18,35,65,340,0,f,flexible
f,1.0,Clarksville,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,308.0,1000.0,75.0,1,0.0,3,t,6,6,6,234,2,f,moderate
f,1.0,Old West Austin,House,Entire home/apt,8,2.0,3.0,3.0,Real Bed,1500.0,500.0,0.0,1,0.0,1,t,30,60,90,365,1,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,100.0,60.0,1,0.0,2,t,26,54,84,359,9,f,strict
f,1.0,West Austin,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,500.0,0.0,0.0,1,0.0,1,t,0,0,0,272,0,f,flexible
f,1.0,Old West Austin,House,Entire home/apt,8,3.0,4.0,8.0,Real Bed,600.0,800.0,175.0,0,0.0,4,t,0,0,0,236,3,f,moderate
f,2.0,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,165.0,300.0,125.0,1,0.0,2,t,29,59,89,364,32,f,strict
f,3.0,Old Enfield,House,Entire home/apt,8,4.0,4.0,6.0,Real Bed,548.0,350.0,250.0,1,0.0,2,t,20,43,73,188,5,f,strict
f,2.0,Old West Austin,House,Entire home/apt,4,1.5,3.0,5.0,Real Bed,295.0,1000.0,90.0,1,0.0,2,t,29,59,84,309,3,f,strict
f,2.0,Old West Austin,House,Entire home/apt,6,2.5,2.0,2.0,Real Bed,425.0,250.0,80.0,1,0.0,1,t,24,54,84,359,6,f,strict
f,1.0,Old West Austin,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,140.0,100.0,40.0,2,25.0,1,t,29,59,89,364,52,f,strict
f,1.0,Clarksville,House,Entire home/apt,8,3.5,3.0,5.0,Real Bed,1250.0,0.0,0.0,1,0.0,1,t,0,0,0,237,0,f,flexible
f,1.0,Clarksville,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,500.0,300.0,100.0,1,0.0,3,t,21,46,76,345,4,f,strict
f,1.0,Downtown,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,245.0,500.0,80.0,1,0.0,3,t,10,22,34,78,1,f,moderate
f,2.0,Bryker Woods,House,Private room,2,1.5,1.0,1.0,Real Bed,48.0,0.0,10.0,1,10.0,1,t,10,35,53,53,83,t,moderate
f,2.0,Clarksville,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,950.0,1000.0,80.0,4,100.0,1,t,30,60,90,365,3,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,125.0,0.0,0.0,1,0.0,2,t,26,56,86,309,5,f,strict
f,1.0,Tarrytown,House,Entire home/apt,9,3.5,5.0,5.0,Real Bed,450.0,1000.0,200.0,8,0.0,5,t,0,0,0,249,3,f,strict
f,8.0,West Austin,House,Entire home/apt,10,2.0,3.0,4.0,Real Bed,450.0,0.0,85.0,1,0.0,1,t,6,22,52,327,0,f,flexible
f,1.0,West Austin,Apartment,Private room,2,1.0,1.0,1.0,Futon,150.0,0.0,25.0,1,15.0,3,t,0,0,0,32,0,f,strict
f,1.0,Downtown,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,600.0,0.0,0.0,1,0.0,1,t,0,9,9,263,1,f,strict
t,2.0,Clarksville,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,125.0,200.0,65.0,2,35.0,1,t,9,34,60,317,41,t,strict
f,1.0,Bryker Woods,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,375.0,500.0,90.0,1,0.0,1,t,30,60,90,365,1,f,flexible
f,1.0,Old West Austin,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,75.0,0.0,0.0,2,15.0,1,t,23,53,83,351,2,f,strict
t,8.0,Clarksville,House,Entire home/apt,3,1.0,0.0,2.0,Real Bed,125.0,450.0,85.0,2,95.0,1,t,0,0,0,250,7,f,strict
f,1.0,Old West Austin,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,109.0,0.0,50.0,2,50.0,1,t,29,59,89,364,20,t,strict
f,1.0,Old West Austin,House,Entire home/apt,4,2.0,2.0,1.0,Real Bed,200.0,500.0,100.0,2,50.0,2,t,8,35,35,280,1,f,moderate
t,1.0,Old West Austin,Other,Entire home/apt,2,1.0,0.0,1.0,Real Bed,75.0,200.0,40.0,1,15.0,1,t,15,45,73,348,92,f,strict
t,1.0,Clarksville,House,Entire home/apt,6,2.0,2.0,2.0,Real Bed,235.0,250.0,110.0,4,0.0,2,t,18,39,59,136,14,f,moderate
f,1.0,Old West Austin,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,300.0,0.0,0.0,1,0.0,2,t,11,11,11,259,0,f,moderate
f,1.0,Bryker Woods,House,Entire home/apt,6,3.0,3.0,1.0,Real Bed,925.0,250.0,130.0,6,100.0,2,t,30,60,90,365,0,f,moderate
f,339.0,Tarrytown,House,Entire home/apt,6,2.5,3.0,3.0,Real Bed,249.0,0.0,145.0,1,0.0,2,t,17,38,68,336,4,f,strict
f,1.0,Tarrytown,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,350.0,250.0,40.0,1,0.0,1,t,0,0,0,17,0,f,moderate
f,1.0,West Austin,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,195.0,0.0,0.0,1,0.0,1,t,0,0,0,214,0,f,flexible
f,1.0,Clarksville,Apartment,Entire home/apt,5,1.5,2.0,3.0,Real Bed,600.0,450.0,60.0,5,0.0,4,t,0,0,0,214,1,f,moderate
f,3.0,Old West Austin,Condominium,Entire home/apt,3,1.0,1.0,1.0,Real Bed,600.0,0.0,0.0,1,0.0,3,t,0,0,0,23,0,f,flexible
f,1.0,Clarksville,House,Private room,2,1.0,1.0,1.0,Real Bed,199.0,0.0,50.0,1,0.0,2,t,0,0,0,15,0,f,strict
f,1.0,Clarksville,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,700.0,0.0,0.0,1,0.0,1,t,30,60,90,365,0,f,flexible
f,1.0,Bryker Woods,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,49.0,150.0,25.0,2,15.0,2,t,0,0,0,158,0,f,strict
f,1.0,Bryker Woods,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,240.0,500.0,75.0,1,0.0,2,t,13,13,13,69,1,f,strict
f,1.0,Old West Austin,House,Entire home/apt,7,2.0,3.0,3.0,Real Bed,600.0,400.0,250.0,1,0.0,1,t,30,60,90,360,0,t,flexible
f,1.0,Downtown,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,175.0,1000.0,75.0,2,0.0,3,t,0,0,0,127,4,f,strict
f,1.0,Clarksville,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,300.0,600.0,0.0,1,0.0,2,t,0,0,0,225,1,f,flexible
f,1.0,West Austin,House,Entire home/apt,6,2.5,2.0,6.0,Real Bed,1000.0,1000.0,200.0,1,0.0,1,t,0,0,0,268,0,f,flexible
f,1.0,Bryker Woods,House,Entire home/apt,8,3.0,4.0,6.0,Real Bed,500.0,0.0,0.0,1,0.0,1,t,0,21,51,326,0,f,flexible
f,1.0,Old West Austin,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,275.0,0.0,0.0,1,0.0,2,t,30,60,90,365,4,f,strict
f,1.0,Clarksville,Condominium,Entire home/apt,3,1.0,1.0,2.0,Real Bed,285.0,300.0,50.0,3,25.0,3,t,3,3,3,19,0,f,strict
t,1.0,Tarrytown,House,Entire home/apt,10,2.5,6.0,7.0,Real Bed,450.0,1000.0,125.0,4,20.0,1,t,16,29,48,270,49,f,strict
t,2.0,Tarrytown,House,Entire home/apt,8,2.0,3.0,3.0,Real Bed,290.0,0.0,80.0,1,0.0,2,t,15,37,67,309,27,f,moderate
f,1.0,West Austin,House,Entire home/apt,6,2.5,3.0,6.0,Real Bed,600.0,800.0,0.0,6,0.0,4,t,0,0,0,223,0,f,moderate
f,1.0,Bryker Woods,House,Private room,2,1.0,1.0,1.0,Real Bed,110.0,0.0,0.0,1,0.0,1,t,0,5,35,310,4,f,flexible
f,1.0,Old West Austin,Other,Entire home/apt,4,1.0,0.0,2.0,Real Bed,100.0,300.0,0.0,2,25.0,3,t,0,5,35,310,2,f,moderate
f,8.0,Bryker Woods,House,Entire home/apt,12,7.5,6.0,7.0,Real Bed,9075.0,5100.0,550.0,1,0.0,2,t,28,58,88,363,0,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,125.0,0.0,50.0,2,0.0,3,t,7,23,53,325,69,f,strict
t,8.0,Clarksville,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,135.0,400.0,85.0,2,125.0,2,t,0,3,33,123,7,f,strict
f,1.0,Downtown,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,139.0,250.0,70.0,2,50.0,2,t,7,30,41,48,8,t,strict
f,1.0,Tarrytown,House,Entire home/apt,10,3.5,4.0,6.0,Real Bed,1850.0,500.0,150.0,1,0.0,2,t,6,6,6,233,0,t,strict
f,1.0,Clarksville,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,200.0,0.0,0.0,1,0.0,2,t,1,1,1,25,0,f,flexible
f,1.0,Clarksville,House,Entire home/apt,4,1.0,2.0,4.0,Real Bed,500.0,100.0,100.0,1,0.0,30,t,0,0,0,273,0,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,300.0,25.0,1,0.0,1,t,8,21,41,316,0,f,strict
f,1.0,Tarrytown,House,Entire home/apt,6,2.5,3.0,4.0,Real Bed,1050.0,1050.0,100.0,7,125.0,3,t,30,60,90,365,2,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,100.0,100.0,25.0,1,0.0,1,t,0,0,0,16,0,f,strict
f,2.0,Clarksville,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,349.0,700.0,70.0,4,25.0,1,t,30,60,90,365,5,f,moderate
f,1.0,Tarrytown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,249.0,500.0,120.0,4,50.0,3,t,30,60,90,365,0,f,strict
t,12.0,Tarrytown,House,Entire home/apt,10,2.5,3.0,6.0,Real Bed,499.0,0.0,0.0,1,0.0,1,t,20,50,80,354,1,f,strict
f,1.0,Old West Austin,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,110.0,150.0,50.0,1,0.0,2,t,5,21,21,238,3,f,moderate
f,1.0,Old West Austin,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,500.0,0.0,30.0,1,0.0,2,t,0,0,0,252,2,f,strict
f,1.0,Old West Austin,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,650.0,250.0,50.0,1,0.0,5,t,30,60,90,365,0,f,strict
f,1.0,Old West Austin,House,Entire home/apt,6,2.5,3.0,3.0,Real Bed,1665.0,0.0,100.0,1,0.0,7,t,30,60,90,365,0,f,strict
f,1.0,Old West Austin,House,Private room,2,1.0,1.0,1.0,Real Bed,240.0,200.0,30.0,1,0.0,2,t,0,0,0,228,0,f,moderate
f,1.0,Clarksville,House,Entire home/apt,10,3.5,4.0,7.0,Real Bed,1250.0,1500.0,250.0,8,125.0,2,t,30,52,82,357,14,f,strict
f,3.0,Old Enfield,House,Entire home/apt,4,2.0,2.0,3.0,Real Bed,295.0,250.0,150.0,1,0.0,2,t,20,42,72,312,1,f,strict
f,1.0,Downtown,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,100.0,200.0,50.0,1,0.0,2,t,3,3,3,3,0,f,strict
f,1.0,Clarksville,House,Entire home/apt,7,2.0,3.0,5.0,Real Bed,402.0,500.0,100.0,8,0.0,2,t,0,0,0,172,7,f,moderate
f,1.0,Old West Austin,House,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,160.0,95.0,50.0,2,0.0,2,t,0,5,28,118,0,f,strict
f,1.0,Clarksville,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,350.0,150.0,50.0,2,25.0,1,t,30,60,90,365,1,f,flexible
f,301.0,Tarrytown,House,Entire home/apt,6,5.0,3.0,3.0,Real Bed,699.0,0.0,179.0,1,0.0,2,t,0,0,0,56,0,f,strict
f,1.0,Old West Austin,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,700.0,100.0,100.0,6,50.0,2,t,30,60,90,365,0,f,strict
